"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2021","Total","Both Sexes","Newcastle","City proper","Estimate - de jure","Final figure, complete","2023","169317","2"
"Australia","2021","Total","Both Sexes","Newcastle","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","348539","3,4,5"
"Australia","2021","Total","Both Sexes","Newcastle","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","179463","2"
"Australia","2021","Total","Both Sexes","Newcastle-Maitland","City proper","Estimate - de jure","Final figure, complete","2023","259870","2"
"Australia","2021","Total","Both Sexes","Newcastle-Maitland","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","509894","2"
"Australia","2021","Total","Both Sexes","Perth","City proper","Estimate - de jure","Final figure, complete","2023","29667","2"
"Australia","2021","Total","Both Sexes","Perth","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","2043762","3,4,5"
"Australia","2021","Total","Both Sexes","Perth","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","2173146","2"
"Australia","2021","Total","Both Sexes","Sunshine Coast","City proper","Estimate - de jure","Final figure, complete","2023","346648","2"
"Australia","2021","Total","Both Sexes","Sunshine Coast","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","284131","3,4,5"
"Australia","2021","Total","Both Sexes","Sunshine Coast","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","387486","2"
"Australia","2021","Total","Both Sexes","Sydney","City proper","Estimate - de jure","Final figure, complete","2023","214851","2"
"Australia","2021","Total","Both Sexes","Sydney","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","4698656","3,4,5"
"Australia","2021","Total","Both Sexes","Sydney","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","4856693","2"
"Australia","2021","Total","Both Sexes","Toowoomba","City proper","Estimate - de jure","Final figure, complete","2023","175316","2"
"Australia","2021","Total","Both Sexes","Toowoomba","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","108398","3,4,5"
"Australia","2021","Total","Both Sexes","Townsville","City proper","Estimate - de jure","Final figure, complete","2023","195515","2"
"Australia","2021","Total","Both Sexes","Townsville","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","173724","3,4,5"
"Australia","2021","Total","Both Sexes","Wollongong","City proper","Estimate - de jure","Final figure, complete","2023","214657","2"
"Australia","2021","Total","Both Sexes","Wollongong","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","280153","3,4,5"
"Australia","2021","Total","Male","Adelaide","City proper","Estimate - de jure","Final figure, complete","2023","13033","2"
"Australia","2021","Total","Male","Adelaide","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","610146","3,4,5"
"Australia","2021","Total","Male","Adelaide","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","676805","2"
"Australia","2021","Total","Male","Ballarat","City proper","Estimate - de jure","Final figure, complete","2023","54865","2"
"Australia","2021","Total","Male","Ballarat","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","50442","3,4,5"
"Australia","2021","Total","Male","Bendigo","City proper","Estimate - de jure","Final figure, complete","2023","59046","2"
"Australia","2021","Total","Male","Bendigo","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","48224","3,4,5"
"Australia","2021","Total","Male","Brisbane","City proper","Estimate - de jure","Final figure, complete","2023","626949","2"
"Australia","2021","Total","Male","Brisbane","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","1122973","3,4,5"
"Australia","2021","Total","Male","Brisbane","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","1231780","2"
"Australia","2021","Total","Male","Cairns","City proper","Estimate - de jure","Final figure, complete","2023","83984","2"
"Australia","2021","Total","Male","Cairns","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","75378","3,4,5"
"Australia","2021","Total","Male","CANBERRA","City proper","Estimate - de jure","Final figure, complete","2023","223867","2"
"Australia","2021","Total","Male","CANBERRA","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","223365","3,4,5"
"Australia","2021","Total","Male","CANBERRA","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","223867","2"
"Australia","2021","Total","Male","Canberra-Queanbeyan","City proper","Estimate - de jure","Final figure, complete","2023","256084","2"
"Australia","2021","Total","Male","Canberra-Queanbeyan","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","242220","3,4,5"
"Australia","2021","Total","Male","Central Coast","City proper","Estimate - de jure","Final figure, complete","2023","169706","2"
"Australia","2021","Total","Male","Central Coast","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","157170","3,4,5"
"Australia","2021","Total","Male","Darwin","City proper","Estimate - de jure","Final figure, complete","2023","43500","2"
"Australia","2021","Total","Male","Darwin","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","61583","3,4,5"
"Australia","2021","Total","Male","Darwin","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","69694","2"
"Australia","2021","Total","Male","Geelong","City proper","Estimate - de jure","Final figure, complete","2023","132433","2"
"Australia","2021","Total","Male","Geelong","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","87298","3,4,5"
"Australia","2021","Total","Male","Geelong","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","141586","2"
"Australia","2021","Total","Male","Gold Coast","City proper","Estimate - de jure","Final figure, complete","2023","309414","2"
"Australia","2021","Total","Male","Gold Coast","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","294553","3,4,5"
"Australia","2021","Total","Male","Gold Coast","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","317291","2"
"Australia","2021","Total","Male","Gold Coast-Tweed Heads","City proper","Estimate - de jure","Final figure, complete","2023","356568","2"
"Australia","2021","Total","Male","Gold Coast-Tweed Heads","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","324806","3,4,5"
"Australia","2021","Total","Male","Greater Adelaide","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","680323","3,4,5"
"Australia","2021","Total","Male","Greater Adelaide","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","686483","2"
"Australia","2021","Total","Male","Greater Brisbane","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","1242349","3,4,5"
"Australia","2021","Total","Male","Greater Brisbane","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","1272890","2"
"Australia","2021","Total","Male","Greater Darwin","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","70739","3,4,5"
"Australia","2021","Total","Male","Greater Darwin","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","76837","2"
